id,upload_date,duration,title,url
9nFYHsXD0cg,20240124,46:08,A Practitioner's Guide to Contemporary Exploratory Testing,https://www.youtube.com/watch?v=9nFYHsXD0cg
UiAHexDYyR8,20220826,36,Sparkles in editor,https://www.youtube.com/watch?v=UiAHexDYyR8
uAPwRaKIa9E,20220512,48:36,Hands Off Exploratory Testing - Managing Testing at Scale,https://www.youtube.com/watch?v=uAPwRaKIa9E
vje6VJjnUlI,20210209,1:05,Wordpad Bug 1639 XP,https://www.youtube.com/watch?v=vje6VJjnUlI
W_4jgnGJWvA,20201119,7:04,EuroSTAR Testing Excellence Award Acceptance Talk,https://www.youtube.com/watch?v=W_4jgnGJWvA
DRFRb_tr8qI,20170526,15:41,EIT Digital Lunch Talk May 12 Q&A,https://www.youtube.com/watch?v=DRFRb_tr8qI
qAPOGFFcb6Y,20170526,31:53,EIT Digital Lunch Talk May 12 How would I test this,https://www.youtube.com/watch?v=qAPOGFFcb6Y
I3Jr8MUHBII,20160404,8:03,The A4 anchoring tool for exploratory testing,https://www.youtube.com/watch?v=I3Jr8MUHBII
yBpqH_rd8yQ,20160404,2:06,Maaret's invite for ACCFI,https://www.youtube.com/watch?v=yBpqH_rd8yQ
84vLPusgqXE,20160330,27,MobTestingPromo,https://www.youtube.com/watch?v=84vLPusgqXE
ctRD2KBUYSI,20160216,4:32,Styles of Pair Testing,https://www.youtube.com/watch?v=ctRD2KBUYSI
n5Q2-bcpNLw,20131218,12:17,Aleksis Tulonen on Exploratory Testing at Tampere Goes Agile 14.12.2013,https://www.youtube.com/watch?v=n5Q2-bcpNLw
